# yyyy mm dd hh mm ss         days  meanSunEl  meanSunAz    NoiseHc    NoiseVc    NoiseHx    NoiseVx    Corr00H    Corr00V   maxPower  quadPower   AzOffset   ElOffset  RatioVcHc  RatioVxHx  RatioVcHx  RatioVxHc  XpolPwrHx  XpolPwrVx  XpolRatio   meanS1S2    zdrCorr xpolRatioDbFromSpdb siteTempFromSpdb XmitPowerH XmitPowerV XmitHVDiff
2015 05 26 21 51 08 16581.910509    44.7432   262.0130   -76.5770   -76.2979   -76.6269   -76.2185     0.0091     0.0075   -62.3994   -62.3939    -0.0233    -0.0392     0.4196     0.5382     0.4039     0.5539 -9999.0000 -9999.0000 -9999.0000     0.9578     0.2791    -0.6787 -9999.0000    89.1377    89.3043    -0.1666
2015 05 26 21 58 34 16581.915671    43.3032   263.3510   -76.5770   -76.2979   -76.6269   -76.2185     0.0078     0.0066   -62.4040   -62.3823    -0.0187    -0.0428     0.4186     0.5249     0.3985     0.5450 -9999.0000 -9999.0000 -9999.0000     0.9435     0.2648    -0.6787 -9999.0000    89.1230    89.2861    -0.1631
2015 05 26 22 06 00 16581.920833    41.8594   264.6497   -76.5770   -76.2979   -76.6269   -76.2185     0.0084     0.0074   -62.3561   -62.3703    -0.0178    -0.0388     0.4070     0.5442     0.4005     0.5507 -9999.0000 -9999.0000 -9999.0000     0.9512     0.2725    -0.6787 -9999.0000    89.1200    89.2862    -0.1662
2015 05 26 22 09 48 16581.923472    41.1201   265.2998   -76.5770   -76.2979   -76.6269   -76.2185     0.0084     0.0074  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6787    -0.6787 -9999.0000    89.1052    89.2731    -0.1679
2015 05 26 22 10 01 16581.923623    41.0779   265.3366   -76.5770   -76.2979   -76.6269   -76.2185     0.0084     0.0074  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6787    -0.6787 -9999.0000    86.4441    86.6053    -0.1612
2015 05 27 14 14 51 16582.593646    32.2425    87.3143   -76.5770   -76.2979   -76.6269   -76.2185     0.0077     0.0079   -62.1976   -62.1864    -0.0253    -0.0116     0.3866     0.4893     0.2717     0.6042    -0.3892     0.3572    -0.7463     0.8760     0.2111    -0.6649 -9999.0000    89.0556    89.1950    -0.1394
2015 05 27 14 22 15 16582.598785    33.6872    88.4316   -76.5770   -76.2979   -76.6269   -76.2185     0.0087     0.0068   -62.1879   -62.2218    -0.0176    -0.0113     0.3812     0.4890     0.2657     0.6045    -0.3425     0.3175    -0.6600     0.8702     0.2053    -0.6649 -9999.0000    89.0632    89.2032    -0.1400
2015 05 27 14 26 38 16582.601829    34.5434    89.1016   -76.5770   -76.2979   -76.6269   -76.2185     0.0087     0.0068   -84.7880   -52.2928     0.2407    -1.7463     2.4864     1.4638    -0.9150     4.8651    -0.3323     0.3086    -0.6409     3.9502     3.2853    -0.6649 -9999.0000    89.0634    89.2049    -0.1415
2015 05 27 14 31 03 16582.604896    35.4063    89.7833   -76.5770   -76.2979   -76.6269   -76.2185     0.0085     0.0080   -62.2111   -62.2576    -0.0211    -0.0113     0.3716     0.4925     0.2681     0.5961    -0.3467     0.3211    -0.6677     0.8641     0.1992    -0.6649 -9999.0000    89.0712    89.2156    -0.1444
2015 05 27 14 38 32 16582.610093    36.8685    90.9552   -76.5770   -76.2979   -76.6269   -76.2185     0.0078     0.0072   -62.2260   -62.2271    -0.0237    -0.0139     0.3901     0.4816     0.2697     0.6020    -0.3530     0.3265    -0.6795     0.8717     0.2068    -0.6649 -9999.0000    89.0644    89.2108    -0.1464
2015 05 27 14 45 59 16582.615266    38.3237    92.1454   -76.5770   -76.2979   -76.6269   -76.2185     0.0089     0.0077   -62.1808   -62.2832    -0.0206    -0.0695     0.6335     0.7198     0.5070     0.8463    -0.3567     0.3296    -0.6864     1.3533     0.6883    -0.6649 -9999.0000    80.2330    82.4326    -2.1997
2015 05 27 14 53 26 16582.620440    39.7779    93.3619   -76.5770   -76.2979   -76.6269   -76.2185     0.0979     0.0902   -76.9765   -77.0945     0.1386    -0.1903     0.3650     0.4597     0.1068     0.7179 -9999.0000 -9999.0000 -9999.0000     0.8248     0.1599    -0.6649 -9999.0000    60.0217    68.7929    -8.7712
2015 05 27 15 00 53 16582.625613    41.2302    94.6082   -76.5770   -76.2979   -76.6269   -76.2185     0.0025     0.0018   -76.9775   -77.9665     0.1463    -0.2915     0.6423     0.7046     0.3604     0.9865 -9999.0000 -9999.0000 -9999.0000     1.3469     0.6820    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 15 08 20 16582.630787    42.6801    95.8876   -76.5770   -76.2979   -76.6269   -76.2185     0.0024     0.0012   -77.6736   -78.0648     0.1415    -0.2062     0.3683     0.4475     0.0888     0.7270 -9999.0000 -9999.0000 -9999.0000     0.8158     0.1509    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 15 15 47 16582.635961    44.1266    97.2044   -76.5770   -76.2979   -76.6269   -76.2185     0.0037     0.0029   -77.8836   -78.0374     0.1369    -0.1962     0.3600     0.4458     0.0788     0.7271 -9999.0000 -9999.0000 -9999.0000     0.8058     0.1409    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 15 23 15 16582.641146    45.5721    98.5658   -76.5770   -76.2979   -76.6269   -76.2185     0.0028     0.0034   -77.4175   -77.5611     0.1347    -0.1575    -0.6386    -0.5014    -0.8847    -0.2553 -9999.0000 -9999.0000 -9999.0000    -1.1400    -1.8049    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 15 30 42 16582.646319    47.0092    99.9708   -76.5770   -76.2979   -76.6269   -76.2185     0.0981     0.0909   -76.9470   -77.0431     0.1366    -0.1751     0.3326     0.4502     0.1155     0.6673 -9999.0000 -9999.0000 -9999.0000     0.7828     0.1179    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 15 38 09 16582.651493    48.4401   101.4278   -76.5770   -76.2979   -76.6269   -76.2185     0.0975     0.0916   -76.9416   -77.0600     0.1301    -0.1950     0.3465     0.4442     0.1242     0.6665 -9999.0000 -9999.0000 -9999.0000     0.7907     0.1258    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 15 45 36 16582.656667    49.8635   102.9428   -76.5770   -76.2979   -76.6269   -76.2185     0.0014     0.0023   -76.9519   -77.5468     0.1400    -0.2294    -0.6224    -0.5133    -0.8519    -0.2837 -9999.0000 -9999.0000 -9999.0000    -1.1356    -1.8005    -0.6649 -9999.0000    60.0139    68.8457    -8.8317
2015 05 27 15 53 03 16582.661840    51.2781   104.5228   -76.5770   -76.2979   -76.6269   -76.2185     0.0958     0.0907   -76.9119   -77.0403     0.1307    -0.1735     0.3439     0.4421     0.1179     0.6681 -9999.0000 -9999.0000 -9999.0000     0.7860     0.1211    -0.6649 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 16 00 30 16582.667014    52.6825   106.1753   -76.5770   -76.2979   -76.6269   -76.2185     0.0022     0.0017   -76.9732   -78.0356     0.1200    -0.1992     0.3459     0.4539     0.0860     0.7138 -9999.0000 -9999.0000 -9999.0000     0.7998     0.1380    -0.6618 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 27 16 07 57 16582.672188    54.0749   107.9090   -76.5770   -76.2979   -76.6269   -76.2185     0.0008     0.0012   -64.6992   -71.1706    -0.0130     0.5214     0.4787     0.5712     0.3279     0.7221    -0.3477     0.3219    -0.6697     1.0499     0.3881    -0.6618 -9999.0000    88.9118    70.9025    18.0093
2015 05 27 16 15 25 16582.677373    55.4564   109.7378   -76.5770   -76.2979   -76.6269   -76.2185     0.0026     0.0032   -62.2552   -62.2534    -0.0227    -0.0251     0.3886     0.4997     0.2817     0.6067    -0.3456     0.3201    -0.6657     0.8883     0.2265    -0.6618 -9999.0000    89.0728    89.2250    -0.1523
2015 05 27 16 22 52 16582.682546    56.8188   111.6643   -76.5770   -76.2979   -76.6269   -76.2185     0.0030     0.0025   -62.2878   -62.2410    -0.0245    -0.0232     0.3766     0.5135     0.2824     0.6077    -0.3334     0.3096    -0.6431     0.8901     0.2282    -0.6618 -9999.0000    89.1412    89.2918    -0.1506
2015 05 27 16 30 19 16582.687720    58.1627   113.7049   -76.5770   -76.2979   -76.6269   -76.2185     0.0030     0.0037   -62.2829   -62.2656    -0.0251    -0.0285     0.3856     0.5012     0.3362     0.5505 -9999.0000 -9999.0000 -9999.0000     0.8867     0.2249    -0.6618 -9999.0000    89.1458    89.2974    -0.1515
2015 05 27 16 37 47 16582.692905    59.4879   115.8783   -76.5770   -76.2979   -76.6269   -76.2185     0.0027     0.0038   -62.3040   -62.2953    -0.0285    -0.0202     0.3862     0.5013     0.3785     0.5090 -9999.0000 -9999.0000 -9999.0000     0.8875     0.2257    -0.6618 -9999.0000    89.1318    89.2827    -0.1510
2015 05 27 16 45 14 16582.698079    60.7854   118.1904   -76.5770   -76.2979   -76.6269   -76.2185     0.0035     0.0028   -62.3213   -62.3095    -0.0297    -0.0169     0.3859     0.4951     0.3707     0.5103    -0.3107     0.2899    -0.6006     0.8810     0.2192    -0.6618 -9999.0000    89.1105    89.2586    -0.1481
2015 05 27 16 52 40 16582.703241    62.0513   120.6572   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0030   -62.3432   -62.3133    -0.0293    -0.0210     0.3823     0.4898     0.3721     0.4999 -9999.0000 -9999.0000 -9999.0000     0.8721     0.2102    -0.6618 -9999.0000    89.1089    89.2609    -0.1520
2015 05 27 16 56 46 16582.706088    62.7357   122.0930   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0030  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6618    -0.6618 -9999.0000    89.1034    89.2560    -0.1526
2015 05 27 17 02 27 16582.710035    63.6663   124.1795   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0030  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6618    -0.6618 -9999.0000    86.0900    86.2400    -0.1500
2015 05 27 17 07 47 16582.713738    64.5184   126.2469   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0030  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6618    -0.6618 -9999.0000    86.0900    86.2400    -0.1500
2015 05 27 17 11 34 16582.716366    65.1091   127.7821   -76.5770   -76.2979   -76.6269   -76.2185     0.0089     0.0066   -62.3334   -62.3044    -0.0412    -0.0102     0.3747     0.5008     0.3643     0.5112 -9999.0000 -9999.0000 -9999.0000     0.8755     0.2137    -0.6618 -9999.0000    89.0300    89.1803    -0.1503
2015 05 27 17 19 05 16582.721586    66.2451   131.0149   -76.5770   -76.2979   -76.6269   -76.2185     0.0070     0.0066   -62.2679   -62.2803    -0.0387    -0.0089     0.3816     0.4950     0.3685     0.5081    -0.3885     0.3566    -0.7451     0.8766     0.2148    -0.6618 -9999.0000    89.1012    89.2528    -0.1517
2015 05 27 17 26 32 16582.726759    67.3152   134.4781   -76.5770   -76.2979   -76.6269   -76.2185     0.0024     0.0031   -62.3336   -62.3339    -0.0376    -0.0183     0.3817     0.4862     0.3667     0.5012    -0.3518     0.3254    -0.6772     0.8679     0.2060    -0.6618 -9999.0000    89.1119    89.2679    -0.1560
2015 05 27 17 33 59 16582.731933    68.3211   138.2218   -76.5770   -76.2979   -76.6269   -76.2185     0.0036     0.0040   -62.3442   -62.3415    -0.0379    -0.0148     0.3876     0.4919     0.3710     0.5084 -9999.0000 -9999.0000 -9999.0000     0.8795     0.2176    -0.6618 -9999.0000    89.1035    89.2604    -0.1569
2015 05 27 17 38 08 16582.734815    68.8502   140.4362   -76.5770   -76.2979   -76.6269   -76.2185     0.0036     0.0040  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6618    -0.6618 -9999.0000    89.0858    89.2359    -0.1501
2015 05 27 17 38 39 16582.735174    68.9143   140.7186   -76.5770   -76.2979   -76.6269   -76.2185     0.0036     0.0040  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6618    -0.6618 -9999.0000    89.0803    89.2303    -0.1500
2015 05 28 17 32 23 16583.730822    68.2287   137.0815   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7276    -0.7276    21.4000 -9999.0000 -9999.0000 -9999.0000
2015 05 28 17 35 28 16583.732963    68.6331   138.6922   -76.5770   -76.2979   -76.6269   -76.2185     0.0080     0.0070   -62.3384   -62.3612    -0.0552    -0.0242     0.3985     0.5209     0.3750     0.5443 -9999.0000 -9999.0000 -9999.0000     0.9193     0.1917    -0.7276    21.4000    60.0201    68.8289    -8.8089
2015 05 28 17 42 45 16583.738021    69.5356   142.7084   -76.5770   -76.2979   -76.6269   -76.2185     0.0040     0.0038   -62.3911   -62.4081    -0.0573    -0.0220     0.3997     0.5215     0.3758     0.5454 -9999.0000 -9999.0000 -9999.0000     0.9212     0.1936    -0.7276    21.5000    60.0177    68.7568    -8.7391
2015 05 28 17 50 46 16583.743588    70.4333   147.4841   -76.5770   -76.2979   -76.6269   -76.2185     0.0035     0.0051   -62.3212   -62.3832    -0.0598    -0.0198     0.3954     0.5294     0.3742     0.5506 -9999.0000 -9999.0000 -9999.0000     0.9248     0.1972    -0.7276    21.9000    60.0139    68.7481    -8.7342
2015 05 28 17 58 07 16583.748692    71.1561   152.1944   -76.5770   -76.2979   -76.6269   -76.2185     0.0032     0.0042   -62.3570   -62.4062    -0.0603    -0.0227     0.4043     0.5203     0.3779     0.5468 -9999.0000 -9999.0000 -9999.0000     0.9247     0.1971    -0.7276    21.9000    60.0318    68.8351    -8.8033
2015 05 28 18 05 26 16583.753773    71.7685   157.1893   -76.5770   -76.2979   -76.6269   -76.2185     0.0037     0.0046   -62.3345   -62.3836    -0.0608    -0.0192     0.3971     0.5206     0.3781     0.5396 -9999.0000 -9999.0000 -9999.0000     0.9178     0.1901    -0.7276    22.0000    60.0052    68.7013    -8.6961
2015 05 28 18 12 45 16583.758854    72.2627   162.4644   -76.5770   -76.2979   -76.6269   -76.2185     0.0041     0.0048   -62.3563   -62.3883    -0.0636    -0.0212     0.3967     0.5186     0.3705     0.5448 -9999.0000 -9999.0000 -9999.0000     0.9153     0.1877    -0.7276    22.4000    60.0310    68.8896    -8.8586
2015 05 28 18 20 04 16583.763935    72.6286   167.9757   -76.5770   -76.2979   -76.6269   -76.2185     0.0042     0.0049   -62.3378   -62.3960    -0.0638    -0.0190     0.4023     0.5235     0.3800     0.5458 -9999.0000 -9999.0000 -9999.0000     0.9259     0.1982    -0.7276    22.5000 -9999.0000 -9999.0000 -9999.0000
2015 05 28 18 27 24 16583.769028    72.8581   173.6740   -76.5770   -76.2979   -76.6269   -76.2185     0.0030     0.0045   -62.3776   -62.3990    -0.0598    -0.0163     0.4047     0.5300     0.3845     0.5502 -9999.0000 -9999.0000 -9999.0000     0.9347     0.2071    -0.7276    22.5000    60.0252    68.8900    -8.8648
2015 05 28 18 34 43 16583.774109    72.9447   179.4554   -76.5770   -76.2979   -76.6269   -76.2185     0.0033     0.0046   -62.3695   -62.4289    -0.0611    -0.0118     0.4112     0.5312     0.3880     0.5543 -9999.0000 -9999.0000 -9999.0000     0.9423     0.2147    -0.7276    22.6000    60.0252    68.9514    -8.9261
2015 05 28 18 42 02 16583.779190    72.8868   185.2457   -76.5770   -76.2979   -76.6269   -76.2185     0.0041     0.0044   -62.3889   -62.4518    -0.0587    -0.0117     0.4049     0.5358     0.3901     0.5507 -9999.0000 -9999.0000 -9999.0000     0.9407     0.2131    -0.7276    23.1000    60.0375    68.8674    -8.8299
2015 05 28 18 49 01 16583.784039    72.6981   190.6995   -76.5770   -76.2979   -76.6269   -76.2185     0.0038     0.0041   -62.3639   -62.4558    -0.0562    -0.0094     0.4015     0.5328     0.3799     0.5544 -9999.0000 -9999.0000 -9999.0000     0.9342     0.2066    -0.7276    23.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 28 19 54 10 16583.829282    66.0013   230.4014   -76.5770   -76.2979   -76.6269   -76.2185     0.0038     0.0041  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7276    -0.7276    23.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 28 20 56 01 16583.872234    55.4375   250.7203   -76.5770   -76.2979   -76.6269   -76.2185     0.0038     0.0041  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7333    -0.7333    25.1000 -9999.0000 -9999.0000 -9999.0000
2015 05 28 20 59 41 16583.874780    54.7596   251.6236   -76.5770   -76.2979   -76.6269   -76.2185     0.0036     0.0043   -62.4572   -62.4792    -0.0430    -0.0173     0.4863     0.5916     0.4553     0.6226 -9999.0000 -9999.0000 -9999.0000     1.0779     0.3446    -0.7333    25.1000    89.0707    89.1023    -0.0315
2015 05 28 21 03 34 16583.877477    54.0378   252.5552   -76.5770   -76.2979   -76.6269   -76.2185     0.0036     0.0043  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7333    -0.7333    25.1000    89.1210    89.2661    -0.1451
2015 05 28 21 03 52 16583.877685    53.9819   252.6261   -76.5770   -76.2979   -76.6269   -76.2185     0.0036     0.0043  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7333    -0.7333    25.1000    89.1303    89.2703    -0.1400
2015 05 29 15 17 52 16584.637407    44.6596    97.1602   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0051   -62.3915   -62.4069    -0.0343    -0.0448     0.4385     0.5559     0.4093     0.5851    -0.4133     0.3773    -0.7906     0.9944     0.2662    -0.7282    19.0000    89.0855    89.2346    -0.1491
2015 05 29 15 25 17 16584.642558    46.0956    98.5150   -76.5770   -76.2979   -76.6269   -76.2185     0.0049     0.0063   -62.3765   -62.4103    -0.0417    -0.0424     0.4412     0.5543     0.4051     0.5904    -0.3971     0.3638    -0.7610     0.9955     0.2673    -0.7282    19.2000    89.0917    89.2431    -0.1514
2015 05 29 15 32 44 16584.647731    47.5329    99.9233   -76.5770   -76.2979   -76.6269   -76.2185     0.0055     0.0077   -62.3742   -62.4174    -0.0397    -0.0487     0.4376     0.5543     0.4055     0.5865    -0.3906     0.3583    -0.7489     0.9920     0.2675    -0.7245    19.4000    89.0737    89.2222    -0.1485
2015 05 29 15 36 37 16584.650428    48.2796   100.6780   -76.5770   -76.2979   -76.6269   -76.2185     0.0055     0.0077  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3386     0.3141    -0.6527     0.0000    -0.7245    -0.7245    19.7000    89.0786    89.2247    -0.1461
2015 05 29 17 15 27 16584.719063    65.9071   128.8060   -76.5770   -76.2979   -76.6269   -76.2185     0.0055     0.0077  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7245    -0.7245    19.7000    86.8226    86.9726    -0.1500
2015 05 29 18 54 09 16584.787604    72.6377   194.6349   -76.5770   -76.2979   -76.6269   -76.2185     0.0055     0.0077  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7459    -0.7459    23.9000    86.0700    86.2200    -0.1500
2015 05 29 18 57 46 16584.790116    72.4432   197.3591   -76.5770   -76.2979   -76.6269   -76.2185     0.0063     0.0063   -62.3976   -62.4201    -0.0638    -0.0144     0.4171     0.5485     0.3869     0.5786 -9999.0000 -9999.0000 -9999.0000     0.9656     0.2197    -0.7459    23.9000    66.8980    68.8452    -1.9472
2015 05 29 19 04 09 16584.794549    72.0233   202.0207   -76.5770   -76.2979   -76.6269   -76.2185     0.0066     0.0068   -62.3961   -62.4560    -0.0641    -0.0091     0.4189     0.5294     0.3788     0.5695 -9999.0000 -9999.0000 -9999.0000     0.9483     0.2024    -0.7459    24.1000 -9999.0000 -9999.0000 -9999.0000
2015 05 29 19 22 41 16584.807419    70.3101   214.2872   -76.5770   -76.2979   -76.6269   -76.2185     0.0066     0.0068  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7459    -0.7459    24.1000 -9999.0000 -9999.0000 -9999.0000
2015 05 29 19 38 28 16584.818380    68.3793   223.1383   -76.5770   -76.2979   -76.6269   -76.2185     0.0066     0.0068  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7459    -0.7459    24.3000 -9999.0000 -9999.0000 -9999.0000
2015 05 29 19 42 08 16584.820926    67.8812   224.9930   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0073   -62.4491   -62.4805    -0.0565    -0.0141     0.4924     0.5778     0.4555     0.6146    -0.4131     0.3772    -0.7903     1.0701     0.3242    -0.7459    24.3000    89.1257    89.2338    -0.1081
2015 05 29 19 49 32 16584.826065    66.8281   228.5223   -76.5770   -76.2979   -76.6269   -76.2185     0.0052     0.0056   -62.4660   -62.5144    -0.0559    -0.0127     0.4825     0.5895     0.4497     0.6223    -0.2981     0.2790    -0.5771     1.0720     0.3261    -0.7459    24.6000    89.1273    89.2977    -0.1704
2015 05 29 19 56 58 16584.831227    65.7130   231.7991   -76.5770   -76.2979   -76.6269   -76.2185     0.0064     0.0060   -62.4340   -62.5081    -0.0558    -0.0091     0.4876     0.5862     0.4509     0.6229    -0.3567     0.3296    -0.6863     1.0738     0.3279    -0.7459    24.6000    89.1073    89.2758    -0.1685
2015 05 29 20 00 56 16584.833981    65.0973   233.4459   -76.5770   -76.2979   -76.6269   -76.2185     0.0064     0.0060  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3929     0.3603    -0.7532     0.0000    -0.7459    -0.7459    24.8000    89.1159    89.2846    -0.1687
2015 05 29 20 12 20 16584.841898    63.2587   237.8235   -76.5770   -76.2979   -76.6269   -76.2185     0.0064     0.0060  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7459    -0.7459    24.8000    88.3949    88.5647    -0.1698
2015 05 29 20 23 30 16584.849653    61.3743   241.6615   -76.5770   -76.2979   -76.6269   -76.2185     0.0064     0.0060  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7318    -0.7318    24.6000    89.1203    89.2903    -0.1700
2015 05 29 20 23 33 16584.849687    61.3657   241.6778   -76.5770   -76.2979   -76.6269   -76.2185     0.0064     0.0060  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7318    -0.7318    24.6000    88.9654    89.1352    -0.1698
2015 05 29 20 27 19 16584.852303    60.7143   242.8839   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0062   -62.4221   -62.4809    -0.0538    -0.0075     0.4734     0.6133     0.4500     0.6367    -0.3378     0.3134    -0.6511     1.0867     0.3549    -0.7318    24.6000    89.0282    89.1942    -0.1660
2015 05 29 20 31 10 16584.854977    60.0414   244.0752   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0062  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7318    -0.7318    24.8000    89.0937    89.2624    -0.1687
2015 05 29 20 36 03 16584.858368    59.1782   245.5296   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0062  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7318    -0.7318    24.8000    89.1003    66.2252    22.8751
2015 05 29 20 44 38 16584.864329    57.6378   247.9455   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0068   -62.4517   -62.4268    -0.0437    -0.0270     0.4960     0.5957     0.4547     0.6370    -0.3813     0.3505    -0.7319     1.0917     0.3598    -0.7318    24.7000    89.0385    89.0828    -0.0443
2015 05 29 20 52 13 16584.869595    56.2553   249.9464   -76.5770   -76.2979   -76.6269   -76.2185     0.0056     0.0061   -62.4654   -62.4482    -0.0477    -0.0170     0.4839     0.6039     0.4616     0.6262 -9999.0000 -9999.0000 -9999.0000     1.0878     0.3560    -0.7318    24.9000    89.1066    89.2761    -0.1695
2015 05 29 20 59 39 16584.874757    54.8834   251.8000   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0063   -62.4114   -62.4505    -0.0508    -0.0152     0.4790     0.5944     0.4445     0.6289 -9999.0000 -9999.0000 -9999.0000     1.0734     0.3416    -0.7318    25.2000    89.0968    89.2636    -0.1667
2015 05 29 21 03 29 16584.877419    54.1702   252.7181   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0063  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7318    -0.7318    25.2000    89.1003    89.2622    -0.1619
2015 05 29 21 03 41 16584.877558    54.1328   252.7653   -76.5770   -76.2979   -76.6269   -76.2185     0.0057     0.0063  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7318    -0.7318    25.2000    86.4663    86.6350    -0.1688
2015 05 30 16 59 29 16585.707975    63.4522   122.1949   -76.5770   -76.2979   -76.6269   -76.2185     0.0061     0.0071   -62.3203   -62.3236    -0.0596    -0.0330     0.4769     0.5757     0.4342     0.6184    -0.3931     0.3604    -0.7535     1.0526     0.3024    -0.7502    14.7000    89.1677    89.3047    -0.1370
2015 05 30 17 06 53 16585.713113    64.6575   124.9913   -76.5770   -76.2979   -76.6269   -76.2185     0.0070     0.0076   -62.2676   -62.3609    -0.0600    -0.0310     0.4731     0.5777     0.4327     0.6182    -0.4020     0.3679    -0.7698     1.0509     0.3007    -0.7502    14.7000    89.1629    89.2992    -0.1364
2015 05 30 17 14 20 16585.718287    65.8284   128.0294   -76.5770   -76.2979   -76.6269   -76.2185     0.0055     0.0069   -56.9442   -62.4970    -0.0676    -0.0252     0.4632     0.5691     0.4285     0.6039    -0.3904     0.3582    -0.7485     1.0324     0.2822    -0.7502    15.0000    89.1581    89.2956    -0.1375
2015 05 30 17 18 12 16585.720972    66.4171   129.7024   -76.5770   -76.2979   -76.6269   -76.2185     0.0055     0.0069  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7502    -0.7502    15.1000    89.1543    89.2966    -0.1423
